data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7090948,804,UKR37044,37044,9-May-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,1,NAF: United Armed Forces of Novorossiya,Luhansk People's Militia,2,12,Europe,Ukraine,Luhansk,Popasniansky,,Zholobok,48.7146,38.6996,2,LPR People's Militia Press Service,Other,"On 9 May 2020, the Ukrainian Forces fired 120mm and 82mm mortars at the positions of the Luhansk People's Militia in the area of Zholobok, Luhansk.",0,1589305745,UKR
7079429,887,YEM52348,52348,9-May-20,2020,1,Strategic developments,Change to group/activity,Military Forces of Yemen (2016-) Supreme Political Council,,1,,,0,10,Middle East,Yemen,Hajjah,Hajjah City,,Hajjah,15.6943,43.6058,3,26 September News - Pro-Hadi,National,"On 9 May 2020, Houthi reinforcements reportedly arrived at various fronts in Hajjah governorate. The composition and precise locations of the reinforcements was not reported.",0,1589229240,YEM
7085573,356,IND74387,74387,9-May-20,2020,1,Protests,Peaceful protest,Protesters (India),Health Workers (India),6,,,0,60,Southern Asia,India,Karnataka,Bengaluru Urban,Bengaluru,Bengaluru,12.9719,77.5936,1,Deccan Herald,Subnational,"On 9 May 2020, doctors and medical staff held a protest at a hospital in Bengaluru city (Bengaluru, KN) demanding no more Coronavirus cases be brought to the hospital. [size=no report]",0,1589292775,IND
7085830,356,IND74229,74229,9-May-20,2020,1,Riots,Mob violence,Rioters (India),Pipri Communal Group (India),5,Civilians (India),,7,57,Southern Asia,India,Uttar Pradesh,Kaushambi,Chail,Pipri,25.4736,81.61,1,United News of India,National,"On 9 May 2020, a scuffle over a property dispute led to firing in Pipri, Kaushambi (UP) leading to 1 person being killed and 2 injured. [size=no report]",1,1589292777,IND
7081224,706,SOM31068,31068,9-May-20,2020,1,Violence against civilians,Attack,Military Forces of Somalia (2017-) Galmudug Administration,,1,Civilians (Somalia),,7,17,Eastern Africa,Somalia,Galgaduud,Dhuusamarreeb,,Dhuusamarreeb,5.5376,46.3867,1,Shabelle Media Network,National,"On 9 May 2020, Govt soldiers opened fire on a civilian vehicle passing near INJI base in Dhuusamarreeb town (Dhuusamarreeb, Galgaduud). The driver and two others were wounded and they were rushed to the hospital. The motive behind this attack is unknown.",0,1589234731,SOM
7081225,706,SOM31071,31071,9-May-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Al Shabaab,,2,AMISOM: African Union Mission in Somalia (2007-),,8,28,Eastern Africa,Somalia,Banadir,Wadajir,,Mogadishu-Wadajir,2.0462,45.3341,1,Shabelle Media Network,National,"On 9 May 2020, Al shabaab militants fired three mortar rounds impacting in and around Halane base camp which houses AU forces at the Adan Ade international airport in Mogadishu-Wadajir district (Wadajir, Banadir).",0,1589234731,SOM
7079434,887,YEM52336,52336,9-May-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),Southern Resistance,1,11,Middle East,Yemen,Ad Dali,Qaatabah,,Bab Ghaliq,13.925,44.6493,2,26 September News - Pro-Hadi,National,"On 9 May 2020, Houthi forces reportedly exchanged artillery with pro-Hadi forces on the fronts of Jabal al Kirsh front (Al Qabbaytah, Lahij), Bab Ghaliq (Qaatabah, Ad Dali), and Jabal Murays (Qaatabah, Ad Dali), incurring fatalities. Unclear fatalities coded as 10 and spread between 3 locations.",3,1589229240,YEM
7079950,484,MEX17996,17996,9-May-20,2020,2,Violence against civilians,Attack,Unidentified Gang (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Baja California,Tijuana,,Tijuana,32.5325,-117.019,1,Zeta Tijuana,Subnational,"Around 9 May 2020 (as reported), in Tijuana, Baja California, a woman was found dead in Colonia Lomas de la Presa. The victim was wrapped in a blanket and her hand and legs were tied, next to the body a human head was found inside a plastic bag. The authorities have not confirmed if the head belonged to the women or to another victim. At least 1 fatality.",1,1589232621,MEX
7079698,484,MEX17987,17987,9-May-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Mexico),,3,Police Forces of Mexico (2018-),,1,13,Central America,Mexico,Guanajuato,Celaya,,Celaya,20.5215,-100.814,2,Zona Franca; Milenio,Subnational-National,"On 9 May 2020, in Celaya, Guanajuato, armed men driving two vehicles attacked a police patrol using grenades and firearms in Camargo community. Three officers died. 3 fatalities.",3,1589232620,MEX
7079954,484,MEX17992,17992,9-May-20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Guanajuato,Leon,,Leon de los Aldama,21.122,-101.6832,1,Zona Franca,Subnational,"On 9 May 2020, in Leon de los Aldama, Guanajuato, armed men who arrived in two motorcycles attacked a man and a woman in Colonia San Francisco. Both victims died. 2 fatalities.",2,1589232621,MEX
7079699,484,MEX17994,17994,9-May-20,2020,2,Violence against civilians,Attack,Unidentified Gang (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Nuevo Leon,Pesqueria,,Pesqueria,25.7833,-100.0537,1,El Norte; Milenio,Subnational-National,"Around 9 May 2020 (as reported), in Pesqueria, Nuevo Leon, a person was found dead in Colonia Colinas del Aeropuerto. The body was mutilated inside a plastic bag. 1 fatality.",1,1589232620,MEX
7083283,76,BRA14471,14471,9-May-20,2020,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,3,Unidentified Gang (Brazil),,3,33,South America,Brazil,Minas Gerais,Contagem,,Contagem,-19.9317,-44.0536,1,G1,National,"On 9 May 2020, in Contagem, Minas Gerais, a man was injured in a drive-by shooting in Jardim Laguna neighborhood by four armed men in a car. The victim had charges against him for drug trafficking. Other two people were injured by stray bullets. There are no reports on the identity of the perpetrators.",0,1589241872,BRA
7079700,484,MEX17995,17995,9-May-20,2020,2,Riots,Mob violence,Rioters (Mexico),,5,Police Forces of Mexico (2018-),,1,15,Central America,Mexico,Mexico,Otzolotepec,,San Mateo Capulhuac,19.4704,-99.5254,1,24 Horas (Mexico),National,"Around 9 May 2020 (as reported), in San Mateo Capulhuac, Mexico, a video was published showing a group of people that attacked a group of police officers accusing them of putting them at risk of being infected with coronavirus. The participants used sticks and stones to destroy the police patrol car. [size=no report]",0,1589232620,MEX
7079189,275,PSE7139,7139,9-May-20,2020,1,Violence against civilians,Attack,Military Forces of Israel (2009-),,8,Civilians (Palestine),,7,78,Middle East,Palestine,West Bank,Qalqilya,,Qalqilyah,32.1897,34.9706,1,Palestine News and Information Agency,National,"On 9 May 2020, Israeli forces raided the city of Qalqiliyah from the north and attacked Palestinian residents in the area whilst firing flairs into the air. No injuries were reported and a reason for soldiers storming the town was not provided.",0,1589220519,PSE
7090712,112,BLR372,372,9-May-20,2020,1,Protests,Protest with intervention,Protesters (Belarus),OGP: United Civic Party of Belarus; BCDTU: Belarusian Congress of Democratic Trade Unions; Labour Group (Belarus),6,Police Forces of Belarus (1994-),,1,16,Europe,Belarus,Mogilev,Babruysk,,Babruysk,53.1384,29.2214,1,TUT.BY; Svaboda.org; Nasha Niva,National,"On 9 May 2020, at least 20 people drove in Babruysk of the Mogilev region to protest against authorities' decision to hold a parade on 9 May amid the coronavirus pandemic, but also against the detainment of a blogger and against president Lukashenka. At least 15 people, include two OGP members and a member of the REP/BCDTU independent trade union, were arrested by the police. [size=at least 20]",0,1589305744,BLR
7090713,112,BLR373,373,9-May-20,2020,1,Strategic developments,Arrests,Police Forces of Belarus (1994-),,1,Civilians (Belarus),OGP: United Civic Party of Belarus; BCDTU: Belarusian Congress of Democratic Trade Unions; Labour Group (Belarus); Viasna; Journalists (Belarus); Health Workers (Belarus),7,17,Europe,Belarus,Minsk,City of Minsk,,Minsk,53.9,27.5667,3,BAJ; Viasna,Other,"On 9 May 2020, at least 55 people were arrested during four days in different cities in Belarus for participating in protests supporting a blogger, who was arrested on 6 May on an administrative charge, and condemning the Victory Day parade. The arrested people were members of the OGP, BCDTU union, Viasna, but also journalists and health workers.",0,1589305744,BLR
7079451,887,YEM52332,52332,9-May-20,2020,1,Protests,Peaceful protest,Protesters (Yemen),STC: Southern Transitional Council,6,,,0,60,Middle East,Yemen,Abyan,Mudiyah,,Mudiyah,13.9284,46.0825,1,Aden al Ghad,Subnational,"On 9 May 2020, people in Mudiyah (Mudiyah, Abyan) participated in a STC-organized demonstration in support of the STC's declaration of self-administration in South Yemen and against alleged corruption of the pro-Hadi government. [size=no report]",0,1589229240,YEM
7079454,887,YEM52331,52331,9-May-20,2020,1,Protests,Peaceful protest,Protesters (Yemen),STC: Southern Transitional Council,6,,,0,60,Middle East,Yemen,Abyan,Ahwar,,Ahwar,13.5202,46.7137,1,Aden al Ghad,Subnational,"On 9 May 2020, people in Ahwar (Ahwar, Abyan) participated in a STC-organized demonstration in support of the STC's declaration of self-administration in South Yemen. [size=no report]",0,1589229240,YEM
7085598,356,IND74388,74388,9-May-20,2020,1,Protests,Peaceful protest,Protesters (India),Labour Group (India),6,,,0,60,Southern Asia,India,Andhra Pradesh,Sri Potti Sriramulu Nellore,Naidupeta,Menakuru,13.9186,79.8269,1,Hans India,Subnational,"On 9 May 2020, migrant workers held a protest in Menakuru village (Nellore, AP) demanding to be sent back to their hometowns amidst the Coronavirus lockdown. [size=no report]",0,1589292776,IND
7085599,356,IND74390,74390,9-May-20,2020,1,Protests,Peaceful protest,Protesters (India),CPI(M): Communist Party of India (Marxist),6,,,0,60,Southern Asia,India,Andhra Pradesh,Krishna,Vijayawada,Vijayawada,16.5074,80.6466,1,Hans India,Subnational,"On 9 May 2020, members of the CPI(M) held a protest in Vijayawada city (Vijayawada, AP) against the milk price hike during the ongoing coronavirus lockdown. [size=no report]",0,1589292776,IND
7085600,356,IND74227,74227,9-May-20,2020,1,Riots,Mob violence,Rioters (India),Farmers (India),5,Rioters (India),Farmers (India),5,55,Southern Asia,India,Uttar Pradesh,Muzaffarnagar,Shamli,Jalalpur,29.4803,77.3521,1,Hawk,Subnational,"On 9 May 2020, a sugarcane farmer and his brother were killed in a clash between two farmer groups in Jalalpur, Shamli (UP) over a land dispute. [size=no report]",2,1589292776,IND
7079458,887,YEM52333,52333,9-May-20,2020,1,Protests,Peaceful protest,Protesters (Yemen),STC: Southern Transitional Council,6,,,0,60,Middle East,Yemen,Abyan,Zingibar,,Zinjibar,13.1287,45.3807,1,Aden al Ghad,Subnational,"On 9 May 2020, people in Zinijbar (Zingibar, Abyan) participated in a STC-organized demonstration in support of the STC's declaration of self-administration in South Yemen. [size=no report]",0,1589229240,YEM
7080994,12,ALG8608,8608,9-May-20,2020,1,Riots,Violent demonstration,Rioters (Algeria),,5,,,0,50,Northern Africa,Algeria,Djelfa,Ain Oussara,,Ain Oussara,35.4513,2.9058,1,Ennahar Online,National,"On 9 May 2020, dozens of Hay Oban Ramadan residents closed road 40 by burning rubber tires in Ain Oussara (Ain Oussara), denouncing their lack of access to drinkable water. [size=dozens]",0,1589234730,DZA
7090722,300,GRC1883,1883,9-May-20,2020,1,Riots,Violent demonstration,Rioters (Greece),Anarchist Group (Greece); KKE (m-l): Communist Party of Greece Marxist-Leninist,5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AMNA; To Vima; To Pontiki,National,"On 9 May 2020, in the evening, about 1,000 members of anti-establishment groups including anarchist groups and members of KKE (m-l) marched in Kypseli [coded to Athens-Central Athens] against the police arresting rioters in the area earlier in the day. The demonstrators threw wood and rocks at supermarkets smashing their windows, caused damages to a supermarket vehicle and an ATM, and hurled a petrol bomb at a DIAS police officer on his motorcycle. No injuries, detentions or arrests were reported. [size=about 1,000]",0,1589305744,GRC
7083555,760,SYR78126,78126,9-May-20,2020,1,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,8,Military Forces of Iran (1989-),,8,88,Middle East,Syria,Deir-ez-Zor,Abu Kamal,Abu Kamal,Al-Bukamal,34.4546,40.9116,2,Liveuamap,Local partner-New media,"On 9 May 2020, unidentified warplanes reportedly carried out airstrikes on an Iranian site near al-Bukamal in Deir-ez-Zor. Neither fatalities nor injuries were reported.",0,1589243119,SYR
7090723,300,GRC1884,1884,9-May-20,2020,1,Riots,Mob violence,Rioters (Greece),,5,Police Forces of Greece (2019-),Police Forces of Greece (2019-) Units for the Reinstatement of Order,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AMNA; Ekathimerini; To Pontiki,National,"On 9 May 2020, early in the morning, about 250 people targeted police forces in Kypseli [coded to Athens-Central Athens] that were called in the area after midnight to investigate a mugging. They were attacked with stones and bottles. MAT riot police reinforcements responded with tear gas. 37 people were detained of which 5 were arrested. The rioters claimed they were attacked without provocation and accused the police of excessive violence. [size=about 250] [coded according to the police version]",0,1589305744,GRC
7083563,760,SYR78192,78192,9-May-20,2020,1,Strategic developments,Change to group/activity,Military Forces of Syria (2000-),,1,,,0,10,Middle East,Syria,Dar'a,Dar'a,Dar'a,Dar'a,32.6241,36.1049,3,Liveuamap,Local partner-New media,"Movement of forces: On 9 May 2020, regime forces brought in military reinforcements to southern Syria, likely in connection to the ongoing clashes in Dar'a province.",0,1589243119,SYR
7083308,76,BRA14476,14476,9-May-20,2020,1,Battles,Armed clash,Military Forces of Brazil (2019-) Military Police,,1,Unidentified Gang and/or Police Militia,,3,13,South America,Brazil,Rio de Janeiro,Rio de Janeiro,,Rio de Janeiro-North Zone,-22.8569,-43.3008,1,Globo Extra,Subnational,"On 9 May 2020, in the North Zone of Rio de Janeiro, Rio de Janeiro, the Military Police carried out an operation in Jacarezinho neighborhood. A shoot-out broke out and two Police officers and two suspects were injured. No information on their health condition was reported. The operation interrupted the distribution of food aid by an NGO to residents of the community.",0,1589241872,BRA
7090733,688,SRB1527,1527,9-May-20,2020,1,Protests,Peaceful protest,Protesters (Serbia),Serbian Movement Dveri,6,,,0,60,Europe,Serbia,Central Serbia,Moravica,,Cacak,43.888,20.344,1,Danas; BETA,National-Regional,"On 9 May 2020, dozens participated in a protest bike-ride and car-drive was held in Cacak, Serbia, initiated by the leader of the oppositional right-wing Movement Dveri. They protested against the government and its decisions to hold elections in June. [size=dozens]",0,1589305744,SRB
7090734,688,SRB1528,1528,9-May-20,2020,1,Protests,Peaceful protest,Protesters (Serbia),,6,,,0,60,Europe,Serbia,Central Serbia,Sumadija,,Kragujevac,44.0109,20.909,1,Danas; Pressek,Subnational-Regional,"On 9 May 2020, dozens protested in Kragujevac, Serbia, against the government and calling for election boycott. More joined by making noise from their balconies. [size=dozens]",0,1589305744,SRB
7079215,792,TUR11734,11734,9-May-20,2020,1,Riots,Mob violence,Rioters (Turkey),,5,Civilians (Turkey),Armenian Ethnic Group (Turkey); Christian Group (Turkey),7,57,Middle East,Turkey,Istanbul,Bakirkoy,,Bakirkoy,40.9975,28.8506,1,Sozcu,National,"On 9 May 2020, an unidentified group assumed to be rioters attacked an Armenian church in Bakirkoy town, Istanbul. Attackers tried to set the outside gate of the church on fire, causing minor material damage. [size=no report]",0,1589220519,TUR
7078704,4,AFG45510,45510,9-May-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,2,Police Forces of Afghanistan (2014-),,1,12,Caucasus and Central Asia,Afghanistan,Kandahar,Kandahar,,Kandahar,31.6133,65.7101,1,Voice of Jihad,Other,"On 9 May 2020, 1 deputy police commander was killed when he was hit by a Taliban-planted landmine in PD10 of Kandahar city. Fatalities coded as 0 (VoJ reported 1).",0,1589217691,AFG
7079216,792,TUR11735,11735,9-May-20,2020,1,Strategic developments,Change to group/activity,Government of Turkey (2016-),,1,,,0,10,Middle East,Turkey,Aydin,Aydin,,Aydin,37.845,27.8396,3,Sozcu,National,"Security measures: On 9 May 2020, Aydin Governorship announced a mandatory use of face masks in all the public spaces in the province as part of the efforts against coronavirus outbreak.",0,1589220519,TUR
7078706,4,AFG45512,45512,9-May-20,2020,2,Strategic developments,Change to group/activity,Military Forces of Afghanistan (2014-),Police Forces of Afghanistan (2014-); Militia (Pro-Government),1,Taliban,,2,12,Caucasus and Central Asia,Afghanistan,Balkh,Balkh,,Balkh,36.7564,66.8972,3,Voice of Jihad,Other,"Change to armed group: Around 9 May 2020 (as reported), 35 soldiers, policemen, and pro-government militia members joined the Taliban in Dawlat Abad, Balkh, Charbolak, Dihdadi, Kishindih, Sholgara, and Zari districts of Balkh province.",0,1589217691,AFG
7083570,760,SYR78163,78163,9-May-20,2020,1,Battles,Armed clash,Military Forces of Syria (2000-),,1,Unidentified Armed Group (Syria),Former Opposition Rebels (Syria),3,13,Middle East,Syria,Dar'a,Dar'a,Mzeireb,Tafas,32.7362,36.0673,2,Liveuamap,Local partner-New media,"On 9 May 2020, clashes took place between armed former members of opposition rebels and regime forces on Tafas front in Dar'a amid regime artillery attacks on the area. Several regime soldiers were killed in the attack. Unknown fatalities coded as 10.",10,1589243119,SYR
7085621,356,IND74194,74194,9-May-20,2020,1,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress; Government of India (2014-),6,,,0,60,Southern Asia,India,Gujarat,Surendranagar,Wadhwan,Surendranagar,22.727,71.6485,1,Indian Express,National,"On 9 May 2020, Congress MLA and 7 of his supporters staged a protest outside the district collector's office, in Surendranagar, Gujarat demanding to pay for the migrant worker's train tickets back to their hometown during the coronavirus lockdown. [size=8]",0,1589292776,IND
7079737,340,HND1603,1603,9-May-20,2020,1,Battles,Armed clash,MS-13: Mara Salvatrucha,,3,Police Forces of Honduras (2010-),,1,13,Central America,Honduras,Francisco Morazan,Distrito Central,,Tegucigalpa,14.0818,-87.2068,1,El Heraldo (Honduras),National,"On 9 May 2020, in Tegucigalpa, MS-13 members clashed with police agents. One MS-13 member was injured during the shooting.",0,1589232620,HND
7080762,434,LBY9970,9970,9-May-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Libya (2014-) Haftar Faction,,1,,,0,10,Northern Africa,Libya,Tripoli,Tripoli,,Mitiga Airport,32.8941,13.276,1,AP; Libya24,National-International,"On 9 May 2020, indiscriminate shells fired by LNA forces on Mitiga Airport (Tripoli) caused heavy damages to aircrafts, fuel tanks, and civilian facilities in surrounding neighborhoods. No casualties reported.",0,1589234729,LBY
7080763,434,LBY9971,9971,9-May-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Libya (2014-) Haftar Faction,,1,Civilians (Libya),,7,17,Northern Africa,Libya,Aljfara,Aljfara,,Qasr Bin Ghashir,32.6878,13.1739,1,Al Wasat; Airwars; Libya Observer,Other-National,"On 9 May 2020, indiscriminate shells by alleged LNA forces killed two civilians in Qaser Bin Ghashir (Tripoli).",2,1589234729,LBY
7083579,760,SYR78283,78283,9-May-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),,1,,,0,10,Middle East,Syria,Idleb,Idleb,Idleb,Nayrab,35.8692,36.7183,1,Liveuamap,Local partner-New media,"On 9 May 2020, regime forces shelled the outskirts of Nayrab in Idleb using artillery fire. Neither fatalities nor injuries were reported.",0,1589243119,SYR
7078973,275,PSE7099,7099,9-May-20,2020,1,Riots,Mob violence,Rioters (Israel),,5,Civilians (Palestine),Labour Group (Palestine),7,57,Middle East,Palestine,West Bank,Jericho,,Jericho,31.8667,35.45,1,Liveuamap; Twitter,Local partner-New media,"On 9 May 2020, rioters set a bank on fire, in Jericho city, after learning that the political prisoners bank accounts were all frozen. [size=no report]",0,1589220518,PSE
7083071,600,PAR706,706,9-May-20,2020,1,Strategic developments,Looting/property destruction,EPP: Paraguayan People's Army,,2,Civilians (Paraguay),Farmers (Paraguay),7,27,South America,Paraguay,Amambay,Pedro Juan Caballero,,Pedro Juan Caballero,-22.5472,-55.7333,2,ABC Color,National,"On 9 May 2020, around Pedro Juan Caballero (Amambay), EPP (Paraguayan People's Army) members burned the main house, a bulldozer, three tractors and a pickup truck in Jaguary farm. No injuries were reported.",0,1589241870,PRY
7081028,108,BUR9658,9658,9-May-20,2020,1,Battles,Armed clash,Police Forces of Burundi (2005-),,1,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,13,Eastern Africa,Burundi,Ruyigi,Kinyinya,Kinyinya,Kinyinya,-3.6581,30.3427,2,Humura,New media,"On 9 May 2020, police forces clashed with a member of the Imbonerakure in Kinyinya commune (Ruyigi), killing the man. He had attempted to take the police officer's gun before the clash. The police officer was arrested following the event.",1,1589234730,BDI
7083336,76,BRA14481,14481,9-May-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Gang (Brazil),,3,,,0,30,South America,Brazil,Pernambuco,Vertente do Lerio,,Vertente do Lerio,-7.7733,-35.8498,1,Jornal do Commercio,National,"On 9 May 2020, in Vertente do Lerio, Pernambuco, armed men used explosives in a bank agency robbery.",0,1589241872,BRA
7081037,562,NIR1315,1315,9-May-20,2020,1,Violence against civilians,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),Fulani Ethnic Group (Niger); Pastoralists (Niger); Kanuri Ethnic Group (Niger); Labour Group (Niger),7,27,Western Africa,Niger,Diffa,Diffa,Gueskerou,Kindjandi,13.7379,12.9311,1,Jeunesse Diffa,New media,"On 9 May 2020, ISWAP or Boko Haram militants abducted between two and four people, including one Fulani pastoralist and one Kanuri merchant leader, in the village of Kindjandi (Gueskerou, Diffa).",0,1589234730,NER
7080784,466,MLI3807,3807,9-May-20,2020,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,3,GATIA: Imghad Tuareg and Allies Self-Defense Group,,3,33,Western Africa,Mali,Kidal,Kidal,Kidal,Takalout,18.12,1.4466,1,Whatsapp; Twitter,New media,"On 9 May 2020, unknown gunmen on motorbikes seized a GATIA vehicle in Takalout (Kidal).",0,1589234729,MLI
7078997,792,TUR11694,11694,9-May-20,2020,1,Strategic developments,Change to group/activity,Government of Turkey (2016-),,1,,,0,10,Middle East,Turkey,Ankara,Cankaya,,Ankara,39.9117,32.8403,3,Hurriyet Daily; Rudaw; Karar; Bianet,National-Regional,"Security measures: On 9 May 2020, Turkish Government began enforcing a 2-day curfew in 24 big provinces until the end of the weekend in a bid to curb the spread of the coronavirus outbreak, forcing the residents to stay in their homes.",0,1589220518,TUR
